xuhao,dilei,fenduan,mianji
1,4,0,0.0000917
1,4,0,0.328813
1,0,0,0.0014913
1,4,0,0.441494
1,3,0,0.0046084
1,4,0,0.0216263
1,3,0,0.0065375
1,3,0,0.0004116
1,3,0,0.0028904
1,3,0,0.0373737
1,0,0,9.7674303
1,4,0,0.178528
1,4,3,0.105185
1,4,3,0.050088
1,0,3,1.20135
1,4,2,0.0258447
1,4,2,0.0181594
1,0,2,1.43918
1,4,1,0.0146858
1,4,1,0.12078
1,4,1,0.0294322
1,4,1,0.150758
1,4,1,0.117013
1,4,1,0.113874
1,4,1,0.0022436
1,4,1,0.113993
1,4,1,0.0023384
1,4,1,0.0015223
1,4,1,0.0015951
1,4,1,0.117634
1,4,1,0.0508468
1,4,1,0.0285107
1,4,1,0.0007854
1,4,1,0.0094077
1,4,1,0.0336489
1,1,1,0.0032359
1,4,1,0.0710638
1,4,1,0.006558
1,4,1,0.0486995
1,0,1,0.0145755
1,3,0,0.0653256
1,3,0,0.0680747
1,3,0,0.111432
1,3,0,0.0772913
1,3,0,0.189565
1,3,0,3.04705
1,3,0,0.037246
1,3,1,7.5842299
1,3,1,1.91597
1,3,2,0.498146
1,3,3,0.351145
2,4,0,0.0280498
2,3,0,0.0015763
2,4,0,0.132405
2,0,0,2.5531199
2,0,0,0.0004586
2,0,0,0.000883
2,0,0,0.345075
2,0,0,0.142489
2,3,0,0.0098593
2,0,3,0.158677
2,0,3,0.0907814
2,0,3,0.0196063
2,0,3,0.757651
2,3,3,0.0089642
2,0,2,0.101972
2,2,2,0.0050148
2,0,2,0.459846
2,2,2,0.128661
2,0,2,0.691951
2,0,2,0.335572
2,3,2,0.0046988
2,0,1,0.131189
2,0,1,0.638595
2,0,1,0.824906
2,0,1,0.198771
2,3,1,0.0143764
2,3,0,0.133119
2,3,0,0.618872
2,3,3,0.772919
2,3,2,0.81327
2,3,1,1.65614
3,4,0,0.0007689
3,4,0,0.0821934
3,4,0,0.0299044
3,0,0,0.0009
3,4,0,0.0154636
3,4,0,0.0090002
3,3,0,0.0021669
3,4,0,0.0059624
3,4,0,0.0014801
3,4,0,0.0025024
3,4,0,0.0612305
3,4,0,0.0022224
3,4,0,0.0815343
3,4,0,0.0699992
3,4,0,0.0543598
3,4,0,0.0570326
3,0,0,5.7079101
3,4,3,0.0772942
3,4,3,0.0613104
3,0,3,3.8508999
3,3,3,0.0031494
3,4,2,0.0536925
3,3,2,0.0019442
3,0,2,0.0014505
3,4,2,0.0402431
3,4,2,0.0882942
3,0,2,1.66082
3,4,1,0.0305092
3,3,1,0.005591
3,4,1,0.146093
3,3,1,0.002528
3,0,1,0.0052357
3,4,1,0.0761936
3,4,1,0.108769
3,0,1,0.0007525
3,4,1,0.105029
3,4,1,0.0028795
3,0,1,2.4656
3,3,0,0.0367054
3,3,0,0.462942
3,3,3,0.374715
3,3,2,0.0263908
3,3,1,0.350834
3,3,1,0.0617464
3,3,3,1.03382
3,3,2,0.757307
3,3,1,0.664811
3,3,1,0.100445
3,3,0,0.519978
3,3,0,1.1103801
4,4,1,0.0014317
4,4,1,0.0508875
4,0,1,0.0008365
4,0,1,0.0005033
4,4,1,0.0177152
4,0,1,1.45885
4,0,3,0.0008587
4,4,3,0.101352
4,3,3,0.260997
4,4,3,0.0900759
4,0,3,1.15775
4,3,3,0.0004738
4,4,2,0.0082244
4,4,2,0.0207915
4,0,2,0.713943
4,4,0,0.0219481
4,0,0,1.27267
4,3,3,0.0400591
4,3,3,0.102091
4,3,3,0.30911
4,3,2,0.436174
4,3,3,0.238721
4,3,3,0.19361
4,3,3,0.116449
4,3,3,0.0507061
4,3,2,0.228418
4,3,1,0.222845
4,3,1,0.0336843
4,3,0,0.171972
5,4,0,0.0086202
5,4,0,0.0118571
5,4,0,0.059972
5,4,0,0.156525
5,0,0,0.0005764
5,4,0,0.140164
5,0,0,1.24727
5,0,0,0.0110084
5,0,0,0.003196
5,0,0,0.0385167
5,4,0,1.09626
5,4,0,0.0837063
5,4,0,0.0594802
5,4,0,0.156609
5,4,0,0.0757741
5,0,0,1.93188
5,0,3,0.14198
5,0,3,0.684805
5,0,3,0.192161
5,0,3,1.29373
5,3,3,0.0155672
5,4,2,0.0006367
5,4,2,0.0005763
5,4,2,0.0449947
5,3,2,0.0009763
5,0,2,2.2068601
5,3,2,0.0058009
5,4,1,0.0167591
5,4,1,0.0005542
5,4,1,0.0606513
5,0,1,2.06036
5,3,3,0.0443419
5,3,3,0.0008745
5,3,3,1.05634
5,3,2,0.0018701
5,3,2,0.547006
5,3,1,0.0430052
5,3,2,0.157526
5,3,1,0.655968
5,3,0,0.628141
5,3,0,0.445231
5,3,0,0.447733
6,3,1,0.0000915
6,4,1,0.006015
6,0,1,0.735248
6,0,1,1.00363
6,0,1,0.214129
6,3,1,0.0043211
6,4,1,0.0677376
6,4,1,0.0020769
6,4,1,0.0009
6,4,1,0.062567
6,0,1,1.67742
6,3,1,0.0002515
6,0,1,0.257889
6,0,1,0.542416
6,3,1,0.114973
6,0,3,0.102583
6,0,3,0.439765
6,0,3,0.454855
6,0,3,0.272005
6,3,3,0.0167357
6,0,2,0.102093
6,3,2,0.000533
6,0,2,0.219361
6,4,2,0.0902655
6,0,2,0.322683
6,3,2,0.0001907
6,0,2,0.303232
6,0,2,0.974504
6,3,2,0.0183797
6,0,0,1.3371
6,4,0,0.0315396
6,0,0,0.27945
6,0,0,0.779558
6,0,0,0.0030691
6,0,0,0.47197
6,0,0,0.753478
6,0,0,0.295781
6,3,0,0.0365934
6,3,1,0.0225587
6,3,1,0.0561078
6,3,1,0.0486196
6,3,1,3.526
6,3,3,1.43791
6,3,2,0.0157076
6,3,2,0.0265145
6,3,2,0.107832
6,3,2,2.42308
6,3,0,3.1528699
7,4,0,0.0117413
7,4,0,0.0875347
7,4,0,0.0276715
7,4,0,0.0495272
7,4,0,0.0320063
7,4,0,0.0759002
7,0,0,0.0005213
7,4,0,0.0746016
7,0,0,0.773409
7,0,0,0.163643
7,4,0,0.0126429
7,4,0,0.169093
7,0,0,0.277868
7,4,0,0.0356506
7,4,0,0.006527
7,0,0,0.0036709
7,0,0,0.0393354
7,0,0,0.0047615
7,4,0,0.0399305
7,0,0,0.322009
7,4,0,0.061882
7,0,0,0.378446
7,4,0,0.0547758
7,4,0,0.086152
7,4,0,0.0804584
7,4,0,0.0509223
7,4,0,0.0824721
7,4,0,0.001293
7,3,0,0.0409448
7,2,0,0.385656
7,4,0,0.0616844
7,4,0,0.0636641
7,4,0,0.0505182
7,4,0,0.0004651
7,3,0,0.0026047
7,4,0,0.0549459
7,3,0,0.0011781
7,4,0,0.124292
7,4,0,0.0204235
7,4,0,0.0506598
7,4,0,0.0484904
7,0,0,0.0008889
7,4,0,0.114267
7,4,0,0.0919459
7,0,0,5.5057001
7,4,0,0.0403875
7,0,0,11.7269001
7,3,3,0.0004377
7,3,3,0.0004777
7,0,3,0.525069
7,0,3,0.0026624
7,4,3,0.0542001
7,0,3,0.7901
7,0,3,0.0044409
7,0,3,0.706876
7,3,3,0.0083236
7,0,2,0.11815
7,0,2,0.0067238
7,0,2,1.62911
7,0,2,0.000679
7,0,2,0.059908
7,0,2,0.0016791
7,0,2,0.0006384
7,0,2,0.0001912
7,0,2,0.504505
7,3,2,0.0087983
7,0,1,0.0000635
7,0,1,0.0013147
7,0,1,0.006105
7,0,1,0.432563
7,0,1,0.0007491
7,0,1,0.0007326
7,0,1,0.292594
7,0,1,0.0463797
7,0,1,0.0005876
7,4,1,0.0366888
7,4,1,0.0008583
7,1,1,0.144426
7,0,1,0.484507
7,4,1,0.11894
7,0,1,0.0007512
7,0,1,0.90425
7,0,1,0.0293747
7,0,1,0.0005325
7,0,1,0.336172
7,0,1,0.166754
7,0,1,0.0008811
7,0,1,0.110781
7,0,1,0.84105
7,0,1,0.278006
7,0,1,0.04779
7,0,1,0.121532
7,0,1,0.038941
7,0,1,1.36464
7,0,1,0.0826977
7,0,1,0.0014632
7,0,1,0.0014347
7,0,1,0.580523
7,0,1,0.0052547
7,0,1,0.0130186
7,4,1,0.0380915
7,4,1,0.0179223
7,4,1,0.0035696
7,0,1,0.122454
7,3,1,0.0840837
7,0,1,0.489805
7,3,0,0.0116724
7,3,0,1.79263
7,3,0,0.0357214
7,3,0,0.0426363
7,3,0,0.0448704
7,3,3,0.000641
7,3,3,0.0124313
7,3,3,0.0006053
7,3,3,1.60447
7,3,2,0.0005763
7,3,2,0.0332174
7,3,2,1.60109
7,3,1,0.0002592
7,3,1,0.000734
7,3,1,5.40521
